max_degree_level,qs_rank
1,4.0
1,4.0
3,119.0
0,42.0
2,77.0
2,
1,187.0
1,84.0
0,
1,42.0
1,
1,
3,6.0
1,35.0
3,77.0
1,
1,54.0
1,4.0
0,
2,1.0
2,9.0
3,69.0
3,1.0
1,
1,168.0
1,6.0
0,66.0
1,54.0
3,
2,6.0
1,
1,
1,4.0
0,
2,
1,
1,1.0
3,48.0
1,
1,
3,1.0
1,6.0
0,
1,48.0
2,147.0
1,54.0
3,7.0
3,40.0
1,
0,
1,29.0
0,66.0
1,130.0
1,
3,23.0
3,3.0
0,
1,1.0
1,
3,
1,6.0
3,
3,32.0
2,25.0
1,1.0
1,187.0
0,
3,2.0
3,4.0
0,
1,152.0
1,42.0
1,
1,26.0
0,
1,54.0
1,147.0
0,
0,
1,15.0
1,61.0
0,1.0
3,4.0
3,1.0
1,
2,
1,
2,2.0
0,79.0
0,
1,
3,153.0
1,
1,6.0
1,77.0
2,158.0
1,
0,
1,
0,
1,99.0
1,102.0
0,
1,
2,6.0
3,165.0
3,119.0
1,
1,
3,4.0
1,29.0
1,61.0
0,
0,14.0
1,
1,8.0
1,119.0
0,
1,
1,
3,90.0
0,
0,
1,6.0
0,145.0
1,
1,32.0
2,158.0
1,
1,
1,1.0
1,1.0
1,66.0
0,
0,12.0
0,
1,
2,
0,
3,29.0
1,6.0
1,
3,23.0
0,
1,8.0
1,145.0
0,
1,
2,99.0
1,150.0
1,26.0
1,
0,
1,
0,
1,
1,32.0
0,35.0
1,
1,14.0
1,
3,
1,
1,23.0
1,77.0
3,
1,43.0
1,
1,
0,
1,124.0
0,
1,
3,
0,
0,
1,
2,23.0
1,56.0
1,
1,6.0
1,4.0
0,
0,
3,
1,26.0
0,
0,
0,
2,53.0
0,
0,
3,158.0
1,
1,
3,
0,
0,
1,8.0
1,
1,
1,
1,8.0
2,147.0
1,111.0
2,
1,
2,
1,
0,
3,
1,
1,
1,
3,133.0
0,
2,4.0
0,
0,
2,
1,4.0
1,
2,
0,
0,
3,84.0
1,
1,
1,
3,141.0
1,
1,111.0
1,
3,22.0
0,
2,81.0
1,60.0
1,
1,
1,
1,
2,
3,56.0
3,19.0
1,23.0
1,66.0
0,
1,
0,
3,130.0
1,66.0
2,42.0
3,161.0
3,15.0
0,
3,8.0
1,
1,
0,
1,8.0
0,
1,
0,
1,
1,
1,26.0
2,37.0
3,2.0
1,4.0
1,
1,
1,
1,
1,
3,130.0
0,
0,
1,130.0
3,
2,
0,
0,
1,123.0
3,31.0
3,127.0
1,77.0
0,
1,176.0
2,
0,
1,
0,
1,
0,84.0
0,31.0
3,35.0
0,101.0
1,
1,
0,84.0
0,
1,
1,
1,
1,21.0
1,
1,
3,42.0
1,
0,
3,
1,170.0
1,163.0
1,
1,
1,26.0
1,8.0
0,
1,99.0
3,
1,
1,8.0
0,
1,
0,
2,43.0
1,
0,
1,
1,145.0
1,
1,15.0
0,
1,
1,
1,13.0
1,29.0
0,
0,
1,
1,15.0
1,
3,
2,
1,42.0
1,
0,8.0
0,
0,
0,
1,
1,10.0
0,
0,
0,54.0
1,
1,
3,29.0
1,
1,
0,
2,
1,
1,
1,
1,
1,69.0
2,8.0
0,
1,
0,
1,
1,15.0
0,
1,
1,
1,
0,
1,
1,
1,
1,
0,
0,
0,
1,
0,
0,
1,
0,
3,141.0
2,
0,
1,
1,
3,15.0
0,
1,26.0
1,
2,126.0
1,
2,73.0
1,
3,194.0
0,
3,28.0
1,130.0
0,
1,43.0
0,
1,
0,
3,
1,
0,
3,
1,77.0
1,
0,86.0
1,
0,
1,
1,
1,
0,
1,
0,
1,77.0
1,23.0
0,
2,101.0
3,
1,
1,
1,
3,
1,
2,11.0
1,121.0
2,11.0
3,
1,
1,8.0
1,
1,
1,
0,
1,4.0
1,
1,35.0
2,176.0
0,
0,66.0
3,152.0
0,
2,
1,6.0
2,
0,
1,
0,
1,
1,
1,32.0
1,
0,
1,
1,26.0
1,4.0
1,35.0
2,23.0
1,
0,
1,
1,
1,42.0
0,
1,
1,79.0
0,
0,
1,
1,10.0
1,28.0
1,
1,170.0
1,
1,88.0
1,
0,77.0
1,
0,
0,
3,48.0
1,
1,31.0
1,
1,
0,
1,
0,
3,15.0
3,147.0
1,29.0
1,43.0
0,
1,6.0
0,
1,26.0
1,
1,
0,
0,
2,
1,60.0
1,
3,170.0
0,
0,
0,
1,
2,119.0
0,
1,32.0
2,
0,
1,
3,
3,
2,
2,
3,
1,43.0
1,
3,35.0
1,26.0
1,8.0
1,
1,127.0
1,
0,12.0
1,
1,35.0
1,
1,99.0
1,
2,
0,
0,
1,
1,43.0
2,77.0
1,
0,
0,
1,
3,1.0
1,
1,
1,
0,150.0
2,48.0
0,
3,
1,
1,8.0
2,
3,43.0
1,
3,
3,
1,77.0
1,6.0
3,127.0
1,66.0
1,99.0
1,130.0
1,
1,4.0
1,
0,
1,26.0
3,84.0
2,119.0
3,40.0
0,
1,
1,
1,
0,
3,150.0
1,101.0
1,8.0
1,
1,
0,
1,152.0
0,
1,102.0
0,
1,6.0
0,
1,
2,69.0
1,
0,
3,21.0
1,150.0
1,
1,
1,35.0
3,
0,
3,101.0
1,
1,
1,
1,
1,
0,
1,26.0
1,
3,
2,
1,
1,26.0
1,
1,4.0
0,
1,
1,4.0
1,29.0
1,11.0
1,
1,54.0
1,23.0
2,53.0
1,
1,
1,
3,
1,
0,
0,
1,42.0
3,
1,
1,
2,
1,
2,
1,54.0
1,
1,42.0
2,43.0
0,
1,6.0
0,
3,88.0
1,
0,
3,12.0
3,
1,
1,127.0
1,
0,
2,48.0
0,
3,
1,
1,31.0
3,
1,22.0
1,
1,
1,12.0
1,
1,
1,
0,
1,
1,
3,1.0
0,
3,
0,
1,
1,46.0
1,66.0
0,
2,12.0
2,
1,
1,26.0
0,
1,27.0
1,
1,172.0
0,141.0
1,63.0
1,119.0
1,119.0
2,12.0
1,3.0
1,8.0
1,
0,
1,26.0
1,
0,
2,108.0
1,
1,
1,32.0
1,
0,
1,
3,
1,
0,
1,
3,15.0
1,
1,
0,
1,
1,
0,
3,42.0
1,
1,
1,
0,
1,
1,
1,
1,
3,1.0
1,
1,145.0
1,
1,
0,
1,
1,15.0
0,
1,
1,101.0
1,163.0
1,
1,
1,
3,130.0
1,8.0
1,
1,1.0
0,
3,54.0
3,6.0
1,
1,29.0
1,
1,15.0
0,
1,
0,
1,
3,32.0
3,
1,
1,31.0
1,
2,
2,
0,
0,
0,
0,
0,
1,
0,
0,
3,165.0
1,
1,79.0
1,
1,
1,
0,
3,
1,6.0
0,
0,
0,
3,101.0
1,
1,
0,
0,
3,15.0
1,147.0
1,
2,
1,
1,
1,12.0
1,
2,141.0
1,
0,8.0
3,
1,
0,
0,
1,187.0
1,101.0
1,123.0
1,
2,
1,101.0
1,
1,
1,84.0
3,102.0
1,
3,42.0
3,19.0
1,
1,
3,8.0
1,31.0
1,6.0
1,
1,
1,
0,35.0
1,
3,
0,
2,123.0
1,28.0
1,
1,152.0
1,46.0
1,4.0
1,15.0
1,32.0
0,
1,
1,
1,
1,
1,
1,
1,
2,21.0
1,66.0
2,
1,
0,
1,77.0
3,8.0
1,1.0
1,31.0
1,
0,
1,
1,130.0
1,
1,
1,12.0
1,102.0
1,
0,
1,
1,
2,8.0
0,
0,
0,
3,123.0
0,
2,
0,
0,
1,15.0
2,
1,
0,
0,
1,53.0
1,
1,29.0
1,
3,
1,4.0
3,
1,4.0
1,88.0
0,54.0
1,
2,
1,4.0
1,
1,
0,12.0
0,
3,31.0
1,
1,163.0
1,
1,127.0
0,
1,13.0
3,4.0
1,145.0
1,
0,
1,168.0
1,
1,
0,
1,60.0
1,15.0
3,24.0
1,
1,123.0
1,
1,
1,
0,
0,
1,1.0
3,11.0
2,
2,
1,
1,
0,69.0
1,
1,
3,4.0
3,
3,141.0
1,
1,13.0
1,
3,48.0
3,152.0
3,168.0
1,
1,93.0
3,31.0
0,66.0
1,102.0
1,
0,
0,
1,
0,
1,
1,
1,11.0
1,101.0
2,101.0
1,130.0
3,79.0
2,24.0
1,4.0
0,
1,8.0
1,130.0
1,43.0
1,26.0
1,
1,
1,
0,
1,
1,6.0
3,79.0
1,43.0
0,
2,
1,163.0
0,
0,
2,
2,116.0
1,
1,158.0
1,170.0
3,
1,
3,13.0
1,15.0
1,
3,53.0
2,
0,
0,
0,4.0
0,99.0
0,
1,
1,
3,
1,
0,
1,
3,23.0
1,
1,
1,
3,77.0
1,31.0
0,
1,
2,
0,
1,
1,
1,11.0
0,
1,26.0
1,4.0
1,
1,
3,165.0
1,
1,4.0
1,
0,
1,
1,26.0
3,145.0
2,
1,127.0
1,
1,
0,32.0
0,
3,6.0
1,54.0
0,
0,1.0
0,
1,19.0
0,
1,163.0
2,
0,
0,
1,
1,8.0
0,
1,
1,32.0
3,145.0
1,4.0
3,141.0
3,53.0
0,84.0
3,43.0
0,
1,
1,
2,82.0
2,141.0
2,13.0
3,79.0
3,123.0
1,
0,
1,
0,1.0
2,141.0
1,6.0
1,
1,54.0
2,
3,54.0
0,
0,
1,23.0
1,
1,
2,
3,187.0
2,4.0
0,
1,
1,15.0
1,
1,
0,
0,
0,
2,
0,
3,43.0
0,
1,
1,152.0
1,
0,
0,
1,
1,54.0
1,1.0
0,
1,
3,29.0
2,
1,
1,
0,
3,141.0
1,
0,
3,
1,4.0
1,
1,
2,
1,
3,13.0
1,
2,
1,
1,
1,
1,
2,
1,
1,
2,
1,
1,
1,
3,127.0
1,4.0
1,46.0
0,
2,46.0
1,
0,
1,
1,
1,
1,
1,
1,99.0
1,
0,
1,11.0
3,60.0
1,27.0
3,84.0
0,
1,
2,2.0
1,27.0
1,
1,
0,
0,
1,31.0
1,
1,78.0
1,
0,
